model,system,seed,step,metric,param_count,value
HNN-Ternary,harmonic,456,1000,trajectory_mse,337,8.537928e1
HNN-Ternary,harmonic,456,0,inference_us,337,2.53
HNN-Ternary,harmonic,456,0,memory_bytes,337,208
HNN-Adaptive,harmonic,456,1,energy_drift,343,4.824930e-3
HNN-Adaptive,harmonic,456,10,energy_drift,343,4.823010e-2
HNN-Adaptive,harmonic,456,100,energy_drift,343,5.042911e-1
HNN-Adaptive,harmonic,456,1000,energy_drift,343,2.448907e1
HNN-Adaptive,harmonic,456,1,trajectory_mse,343,1.015272e-4
HNN-Adaptive,harmonic,456,10,trajectory_mse,343,1.012050e-2
HNN-Adaptive,harmonic,456,100,trajectory_mse,343,1.054756e0
HNN-Adaptive,harmonic,456,1000,trajectory_mse,343,2.516519e1
HNN-Adaptive,harmonic,456,0,inference_us,343,3.22
HNN-Adaptive,harmonic,456,0,memory_bytes,343,232
MLP-FP32,harmonic,456,1000,energy_drift,354,2.828419e-1
MLP-FP32,harmonic,456,0,inference_us,354,1.83
MLP-FP32,harmonic,456,0,memory_bytes,354,1416
HNN-FP32,pendulum,42,1,energy_drift,337,2.528112e-3
HNN-FP32,pendulum,42,10,energy_drift,337,2.529927e-2
HNN-FP32,pendulum,42,100,energy_drift,337,2.509972e-1
HNN-FP32,pendulum,42,1000,energy_drift,337,2.414429e0
HNN-FP32,pendulum,42,1,trajectory_mse,337,6.254748e-5
HNN-FP32,pendulum,42,10,trajectory_mse,337,6.250774e-3
HNN-FP32,pendulum,42,100,trajectory_mse,337,6.274397e-1
HNN-FP32,pendulum,42,1000,trajectory_mse,337,1.173207e1
HNN-FP32,pendulum,42,0,inference_us,337,1.73
HNN-FP32,pendulum,42,0,memory_bytes,337,1348
HNN-Ternary,pendulum,42,1,energy_drift,337,4.846286e-2
HNN-Ternary,pendulum,42,10,energy_drift,337,4.806504e-1
HNN-Ternary,pendulum,42,100,energy_drift,337,2.242108e0
HNN-Ternary,pendulum,42,1000,energy_drift,337,1.496094e2
HNN-Ternary,pendulum,42,1,trajectory_mse,337,8.235153e-5
HNN-Ternary,pendulum,42,10,trajectory_mse,337,8.034079e-3
HNN-Ternary,pendulum,42,100,trajectory_mse,337,6.929074e-1
HNN-Ternary,pendulum,42,1000,trajectory_mse,337,8.860324e1
HNN-Ternary,pendulum,42,0,inference_us,337,2.58
HNN-Ternary,pendulum,42,0,memory_bytes,337,208
HNN-Adaptive,pendulum,42,1,energy_drift,343,1.168617e-2
HNN-Adaptive,pendulum,42,10,energy_drift,343,1.178611e-1
HNN-Adaptive,pendulum,42,100,energy_drift,343,1.154688e0
HNN-Adaptive,pendulum,42,1000,energy_drift,343,1.059883e1
HNN-Adaptive,pendulum,42,1,trajectory_mse,343,4.088171e-5
HNN-Adaptive,pendulum,42,10,trajectory_mse,343,4.101892e-3
HNN-Adaptive,pendulum,42,100,trajectory_mse,343,4.300360e-1
HNN-Adaptive,pendulum,42,1000,trajectory_mse,343,1.243219e1
HNN-Adaptive,pendulum,42,0,inference_us,343,3.33
HNN-Adaptive,pendulum,42,0,memory_bytes,343,232
MLP-FP32,pendulum,42,1000,energy_drift,354,6.799835e0
MLP-FP32,pendulum,42,0,inference_us,354,1.82
MLP-FP32,pendulum,42,0,memory_bytes,354,1416
HNN-FP32,pendulum,123,1,energy_drift,337,2.688126e-3
HNN-FP32,pendulum,123,10,energy_drift,337,2.685406e-2
HNN-FP32,pendulum,123,100,energy_drift,337,2.660722e-1
HNN-FP32,pendulum,123,1000,energy_drift,337,2.457174e0
HNN-FP32,pendulum,123,1,trajectory_mse,337,6.440299e-5
HNN-FP32,pendulum,123,10,trajectory_mse,337,6.436752e-3
HNN-FP32,pendulum,123,100,trajectory_mse,337,6.450573e-1
HNN-FP32,pendulum,123,1000,trajectory_mse,337,1.195753e1
HNN-FP32,pendulum,123,0,inference_us,337,1.88
HNN-FP32,pendulum,123,0,memory_bytes,337,1348
HNN-Ternary,pendulum,123,1,energy_drift,337,1.490814e-2
HNN-Ternary,pendulum,123,10,energy_drift,337,1.438306e-1
HNN-Ternary,pendulum,123,100,energy_drift,337,1.638169e0
HNN-Ternary,pendulum,123,1000,energy_drift,337,1.629265e0
HNN-Ternary,pendulum,123,1,trajectory_mse,337,2.094472e-5
HNN-Ternary,pendulum,123,10,trajectory_mse,337,1.902726e-3
HNN-Ternary,pendulum,123,100,trajectory_mse,337,2.132304e-1
HNN-Ternary,pendulum,123,1000,trajectory_mse,337,1.222691e1
HNN-Ternary,pendulum,123,0,inference_us,337,2.54
HNN-Ternary,pendulum,123,0,memory_bytes,337,208
HNN-Adaptive,pendulum,123,1,energy_drift,343,4.568804e-3
HNN-Adaptive,pendulum,123,10,energy_drift,343,4.542030e-2
HNN-Adaptive,pendulum,123,100,energy_drift,343,4.490652e-1
HNN-Adaptive,pendulum,123,1000,energy_drift,343,3.430586e0
HNN-Adaptive,pendulum,123,1,trajectory_mse,343,6.266126e-5
HNN-Adaptive,pendulum,123,10,trajectory_mse,343,6.258392e-3
HNN-Adaptive,pendulum,123,100,trajectory_mse,343,6.247223e-1
HNN-Adaptive,pendulum,123,1000,trajectory_mse,343,1.180713e1
HNN-Adaptive,pendulum,123,0,inference_us,343,3.66
HNN-Adaptive,pendulum,123,0,memory_bytes,343,232
MLP-FP32,pendulum,123,1000,energy_drift,354,3.442601e0
MLP-FP32,pendulum,123,0,inference_us,354,1.84
MLP-FP32,pendulum,123,0,memory_bytes,354,1416
HNN-FP32,pendulum,456,1,energy_drift,337,7.661154e-4
HNN-FP32,pendulum,456,10,energy_drift,337,7.664444e-3
HNN-FP32,pendulum,456,100,energy_drift,337,7.628750e-2
HNN-FP32,pendulum,456,1000,energy_drift,337,7.272339e-1
HNN-FP32,pendulum,456,1,trajectory_mse,337,6.580769e-5
HNN-FP32,pendulum,456,10,trajectory_mse,337,6.577557e-3
HNN-FP32,pendulum,456,100,trajectory_mse,337,6.587340e-1
HNN-FP32,pendulum,456,1000,trajectory_mse,337,1.204424e1
HNN-FP32,pendulum,456,0,inference_us,337,1.88
HNN-FP32,pendulum,456,0,memory_bytes,337,1348
HNN-Ternary,pendulum,456,1,energy_drift,337,6.145749e-2
HNN-Ternary,pendulum,456,10,energy_drift,337,6.301602e-1
HNN-Ternary,pendulum,456,100,energy_drift,337,5.757011e0
HNN-Ternary,pendulum,456,1000,energy_drift,337,6.062003e1
HNN-Ternary,pendulum,456,1,trajectory_mse,337,1.373618e-4
HNN-Ternary,pendulum,456,10,trajectory_mse,337,1.394473e-2
HNN-Ternary,pendulum,456,100,trajectory_mse,337,1.446255e0
HNN-Ternary,pendulum,456,1000,trajectory_mse,337,9.404530e1
HNN-Ternary,pendulum,456,0,inference_us,337,2.53
HNN-Ternary,pendulum,456,0,memory_bytes,337,208
HNN-Adaptive,pendulum,456,1,energy_drift,343,1.112434e-2
HNN-Adaptive,pendulum,456,10,energy_drift,343,1.113767e-1
HNN-Adaptive,pendulum,456,100,energy_drift,343,1.123534e0
HNN-Adaptive,pendulum,456,1000,energy_drift,343,2.941206e1
HNN-Adaptive,pendulum,456,1,trajectory_mse,343,6.048305e-5
HNN-Adaptive,pendulum,456,10,trajectory_mse,343,6.016220e-3
HNN-Adaptive,pendulum,456,100,trajectory_mse,343,5.970880e-1
