model,system,seed,epoch,train_loss,val_loss
MLP-FP32,pendulum,123,100,1.372020e0,1.064347e0
MLP-FP32,pendulum,123,150,1.344083e0,1.042206e0
MLP-FP32,pendulum,123,199,1.318591e0,1.021966e0
HNN-FP32,pendulum,456,0,1.392031e0,1.085541e0
HNN-FP32,pendulum,456,50,1.391012e0,1.084692e0
HNN-FP32,pendulum,456,100,1.390109e0,1.083930e0
HNN-FP32,pendulum,456,150,1.388918e0,1.082983e0
HNN-FP32,pendulum,456,199,1.387814e0,1.082068e0
HNN-Ternary,pendulum,456,0,4.896707e1,3.665288e1
HNN-Ternary,pendulum,456,50,4.896707e1,3.665288e1
HNN-Ternary,pendulum,456,100,4.896707e1,3.665288e1
HNN-Adaptive,pendulum,456,0,9.698368e0,1.009154e1
HNN-Adaptive,pendulum,456,50,8.771601e0,8.934463e0
HNN-Adaptive,pendulum,456,100,3.339205e0,3.279772e0
HNN-Adaptive,pendulum,456,150,1.460156e0,1.219305e0
HNN-Adaptive,pendulum,456,199,1.371971e0,1.160672e0
MLP-FP32,pendulum,456,0,1.409507e0,1.097580e0
MLP-FP32,pendulum,456,50,1.396976e0,1.087450e0
MLP-FP32,pendulum,456,100,1.384955e0,1.077710e0
MLP-FP32,pendulum,456,150,1.372869e0,1.067942e0
MLP-FP32,pendulum,456,199,1.361493e0,1.058643e0
HNN-FP32,double_pendulum,42,0,1.219212e0,1.164114e0
HNN-FP32,double_pendulum,42,50,1.218805e0,1.163370e0
HNN-FP32,double_pendulum,42,100,1.218554e0,1.163000e0
HNN-FP32,double_pendulum,42,150,1.218114e0,1.162334e0
HNN-FP32,double_pendulum,42,199,1.217676e0,1.161420e0
HNN-Ternary,double_pendulum,42,0,7.691831e1,9.758881e1
HNN-Ternary,double_pendulum,42,50,7.691831e1,9.758881e1
HNN-Ternary,double_pendulum,42,100,7.691831e1,9.758881e1
HNN-Adaptive,double_pendulum,42,0,1.279975e2,1.190177e2
HNN-Adaptive,double_pendulum,42,50,2.623621e1,2.697396e1
HNN-Adaptive,double_pendulum,42,100,1.209527e0,1.163675e0
HNN-Adaptive,double_pendulum,42,150,1.206435e0,1.112579e0
HNN-Adaptive,double_pendulum,42,199,1.208570e0,1.103136e0
MLP-FP32,double_pendulum,42,0,1.204062e0,1.129097e0
MLP-FP32,double_pendulum,42,50,1.202343e0,1.127388e0
MLP-FP32,double_pendulum,42,100,1.200641e0,1.125704e0
MLP-FP32,double_pendulum,42,150,1.198945e0,1.123999e0
MLP-FP32,double_pendulum,42,199,1.197241e0,1.122293e0
HNN-FP32,double_pendulum,123,0,1.213564e0,1.133345e0
HNN-FP32,double_pendulum,123,50,1.213131e0,1.132827e0
HNN-FP32,double_pendulum,123,100,1.212630e0,1.132313e0
HNN-FP32,double_pendulum,123,150,1.212163e0,1.131633e0
HNN-FP32,double_pendulum,123,199,1.211778e0,1.131214e0
HNN-Ternary,double_pendulum,123,0,4.723742e1,5.989846e1
HNN-Ternary,double_pendulum,123,50,4.723742e1,5.989846e1
HNN-Ternary,double_pendulum,123,100,4.723742e1,5.989846e1
HNN-Adaptive,double_pendulum,123,0,3.287937e1,2.549408e1
HNN-Adaptive,double_pendulum,123,50,1.503501e1,1.157572e1
